nome,civilizacao,era,tipo,ataque,defesa,hp,custo_comida,custo_madeira,custo_ouro,bonus
Hoplita,Grego,Clássica,Infantaria,6,3,120,60,0,20,"forte contra cavalaria"
Toxota,Grego,Arcaica,Arqueiro,4,1,50,0,40,20,"forte contra infantaria"
Hippeis,Grego,Clássica,Cavalaria,8,2,150,80,0,40,"forte contra arqueiros"
Minotauro,Grego,Clássica,Mitológica,15,2,300,0,0,0,"golpe forte mas lento"
Soldado Egípcio,Egípcio,Arcaica,Infantaria,5,3,110,50,0,0,"balanceado"
Arqueiro Egípcio,Egípcio,Clássica,Arqueiro,6,2,55,0,40,30,"forte contra infantaria"
Carruagem de Guerra,Egípcio,Clássica,Cavalaria,9,2,170,100,0,60,"forte contra arqueiros"
Enki,Egípcio,Clássica,Mitológica,14,2,350,0,0,0,"alta durabilidade"
Espadachim Nórdico,Nórdico,Arcaica,Infantaria,6,2,125,55,0,0,"fraco contra arqueiros"
Arqueiro Nórdico,Nórdico,Clássica,Arqueiro,5,2,50,0,45,15,"forte contra infantaria"
Cavalaria Nórdica,Nórdico,Clássica,Cavalaria,9,3,160,75,0,45,"forte contra arqueiros"
Troll,Nórdico,Clássica,Mitológica,13,2,310,0,0,0,"alta regeneração"
Murmilho,Atlante,Clássica,Infantaria,7,3,130,65,0,20,"forte contra cavalaria"
Arcus,Atlante,Clássica,Arqueiro,6,2,60,0,50,25,"forte contra infantaria"
Katapeltes,Atlante,Clássica,Cavalaria,10,2,165,90,0,45,"forte contra arqueiros"
Automaton,Atlante,Clássica,Mitológica,16,3,320,0,0,0,"dura muito em batalha"
